Source,Area_or_Site,lat,lon,Exp_Start,Exp_End,Elevation_m,Genus,species,Family,Subtribe,Habit_EC,JZ1,JZ2,JZ3,JZ4,JZ5,Abundance,HeightMin_m,HeightMax_m,HeightType,ObservationType,ValueType,DataQuality,note,AcceptedName
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Acianthera,ciliata,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Acianthera,sp1,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Anguloa,uniflora,Orchidaceae,,,27,8,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Batemannia,colleyi,Orchidaceae,,,19,1,13,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Camaridium,vestitum,Orchidaceae,,,0,30,15,7,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Catasetum,saccatum,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Chaubardia,klugii,Orchidaceae,,,0,2,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Coryanthes,sp1,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Cyrtopodium,sp1,Orchidaceae,,,0,0,12,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Dichaea,laxa,Orchidaceae,,,0,0,0,6,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Dichaea,pendula,Orchidaceae,,,2,0,6,6,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,compressum,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,coronatum,Orchidaceae,,,1,2,1,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,fimbriatum,Orchidaceae,,,4,0,4,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,flexuosum,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,isomerum,Orchidaceae,,,0,0,1,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,longicolle,Orchidaceae,,,0,0,6,0,0,,,,NA,Abundance,,,,
